Date,Open,High,Low,Close,Volume
2025-11-17 09:00:00,95653.78000000,96026.71000000,95532.02000000,95619.06000000,1082.17947000
2025-11-17 10:00:00,95619.07000000,95868.99000000,95309.68000000,95656.21000000,907.38215000
2025-11-17 11:00:00,95656.20000000,95891.59000000,95545.10000000,95651.70000000,499.57874000
2025-11-17 12:00:00,95651.70000000,95938.36000000,95369.98000000,95565.38000000,926.51906000
2025-11-17 13:00:00,95565.38000000,95571.30000000,95250.58000000,95312.23000000,545.81467000
2025-11-17 14:00:00,95312.24000000,95370.89000000,93571.30000000,93959.79000000,2495.70008000
2025-11-17 15:00:00,93959.78000000,96043.00000000,93755.22000000,94769.32000000,3177.03036000
2025-11-17 16:00:00,94769.33000000,95018.86000000,93806.37000000,93959.67000000,1867.09141000
2025-11-17 17:00:00,93959.68000000,94419.88000000,93051.71000000,94306.00000000,2847.04335000
2025-11-17 18:00:00,94306.01000000,94394.80000000,92658.82000000,92767.49000000,2184.47626000
2025-11-17 19:00:00,92767.48000000,93224.35000000,92413.31000000,92549.01000000,2978.32313000
2025-11-17 20:00:00,92549.02000000,92653.97000000,91588.00000000,91678.93000000,3690.73308000
2025-11-17 21:00:00,91678.93000000,92234.53000000,91292.00000000,91920.59000000,3249.24836000
2025-11-17 22:00:00,91914.01000000,92253.72000000,91500.00000000,91959.71000000,1866.20530000
2025-11-17 23:00:00,91959.72000000,92399.48000000,91220.00000000,92247.63000000,1469.82034000
2025-11-18 00:00:00,92247.64000000,92294.15000000,91793.90000000,92215.14000000,1467.06849000
2025-11-18 01:00:00,92215.14000000,92357.51000000,91200.00000000,92169.86000000,1831.22552000
2025-11-18 02:00:00,92169.86000000,92221.01000000,91624.50000000,91714.29000000,1663.24084000
2025-11-18 03:00:00,91714.29000000,91750.00000000,90687.42000000,90866.01000000,2546.69077000
2025-11-18 04:00:00,90866.01000000,90927.69000000,89700.00000000,90842.72000000,4606.07848000
2025-11-18 05:00:00,90842.72000000,90851.66000000,89253.78000000,90081.90000000,3350.00605000
2025-11-18 06:00:00,90081.90000000,90469.14000000,89719.63000000,90221.33000000,1575.65404000
2025-11-18 07:00:00,90221.33000000,90233.16000000,89371.12000000,89651.30000000,1335.95745000
2025-11-18 08:00:00,89651.29000000,90555.88000000,89337.39000000,90512.10000000,2766.44981000
2025-11-18 09:00:00,90512.10000000,91440.00000000,90509.79000000,91220.00000000,2225.79136000
2025-11-18 10:00:00,91219.99000000,91487.58000000,90889.93000000,91400.01000000,1441.96417000
2025-11-18 11:00:00,91400.01000000,91617.17000000,91256.80000000,91585.02000000,1087.06008000
2025-11-18 12:00:00,91585.01000000,91615.43000000,91247.56000000,91517.82000000,1022.64847000
2025-11-18 13:00:00,91517.83000000,91878.11000000,91110.00000000,91518.54000000,906.99249000
2025-11-18 14:00:00,91518.54000000,91659.94000000,90905.70000000,91476.56000000,1036.51569000
2025-11-18 15:00:00,91476.56000000,92450.23000000,91206.52000000,91359.29000000,2351.78391000
2025-11-18 16:00:00,91359.30000000,93049.91000000,91010.00000000,92910.10000000,2802.22354000
2025-11-18 17:00:00,92910.10000000,93836.01000000,92579.23000000,93499.16000000,2533.31280000
2025-11-18 18:00:00,93499.15000000,93657.15000000,92821.26000000,93256.92000000,1189.79384000
2025-11-18 19:00:00,93256.92000000,93766.00000000,93151.04000000,93331.08000000,692.11551000
2025-11-18 20:00:00,93331.09000000,93612.00000000,92994.88000000,93195.61000000,502.14706000
2025-11-18 21:00:00,93195.61000000,93298.00000000,92657.25000000,92783.36000000,539.00940000
2025-11-18 22:00:00,92783.36000000,93030.00000000,92462.72000000,92491.59000000,542.20850000
2025-11-18 23:00:00,92491.60000000,93423.74000000,92491.59000000,93160.00000000,439.15612000
2025-11-19 00:00:00,93159.99000000,93163.34000000,92727.27000000,92960.83000000,847.12179000
2025-11-19 01:00:00,92960.83000000,92980.22000000,91929.86000000,92416.51000000,875.05841000
2025-11-19 02:00:00,92416.52000000,92644.49000000,91935.03000000,92439.99000000,856.50507000
2025-11-19 03:00:00,92440.00000000,92865.24000000,92280.00000000,92569.12000000,531.42350000
2025-11-19 04:00:00,92569.12000000,92636.00000000,91660.49000000,91874.52000000,802.16678000
2025-11-19 05:00:00,91874.51000000,91976.12000000,91163.19000000,91163.20000000,1152.46121000
2025-11-19 06:00:00,91163.20000000,91267.73000000,90025.06000000,90459.99000000,1783.40843000
2025-11-19 07:00:00,90459.99000000,91104.00000000,90282.83000000,90990.87000000,1223.51965000
2025-11-19 08:00:00,90990.88000000,92028.92000000,90948.37000000,91863.64000000,1475.85023000
2025-11-19 09:00:00,91863.64000000,91950.00000000,91287.34000000,91470.44000000,803.83092000
2025-11-19 10:00:00,91470.44000000,91513.72000000,91072.41000000,91513.72000000,740.22178000
2025-11-19 11:00:00,91513.72000000,91700.55000000,91225.98000000,91314.75000000,580.50005000
2025-11-19 12:00:00,91314.74000000,91782.04000000,91312.00000000,91410.22000000,416.30964000
2025-11-19 13:00:00,91410.23000000,91879.85000000,91220.00000000,91780.00000000,604.31025000
2025-11-19 14:00:00,91780.00000000,91900.00000000,91228.82000000,91405.02000000,728.07490000
2025-11-19 15:00:00,91405.02000000,91857.30000000,91037.50000000,91713.44000000,1389.38336000
2025-11-19 16:00:00,91713.45000000,92384.61000000,89880.00000000,89951.70000000,3292.32346000
2025-11-19 17:00:00,89951.70000000,90232.56000000,89453.88000000,89905.78000000,2417.11812000
2025-11-19 18:00:00,89905.77000000,90133.33000000,88889.00000000,89500.01000000,2649.49867000
2025-11-19 19:00:00,89500.00000000,89744.51000000,88792.00000000,89237.83000000,2216.17894000
2025-11-19 20:00:00,89237.82000000,89384.27000000,88630.71000000,88884.56000000,1504.39912000
2025-11-19 21:00:00,88884.56000000,89704.39000000,88608.00000000,89516.91000000,1421.78591000
2025-11-19 22:00:00,89516.91000000,90850.00000000,89450.01000000,90600.68000000,2890.29056000
2025-11-19 23:00:00,90600.67000000,90635.58000000,90101.14000000,90480.56000000,768.25681000
2025-11-20 00:00:00,90480.56000000,91594.00000000,90480.56000000,91554.96000000,1163.76183000
2025-11-20 01:00:00,91554.96000000,92300.00000000,91185.26000000,91891.32000000,1045.70121000
2025-11-20 02:00:00,91891.32000000,92716.44000000,91820.01000000,92590.13000000,1058.92103000
2025-11-20 03:00:00,92590.13000000,92798.14000000,92322.04000000,92592.84000000,904.85403000
2025-11-20 04:00:00,92592.85000000,92717.52000000,92360.84000000,92440.32000000,919.58347000
2025-11-20 05:00:00,92440.33000000,92990.00000000,92124.00000000,92962.83000000,931.12356000
2025-11-20 06:00:00,92962.84000000,93160.00000000,92566.55000000,92616.20000000,878.19369000
2025-11-20 07:00:00,92616.21000000,92851.06000000,91687.07000000,91974.70000000,1324.95908000
2025-11-20 08:00:00,91974.69000000,92445.80000000,91798.24000000,92320.18000000,657.61367000
2025-11-20 09:00:00,92320.18000000,92400.94000000,92036.27000000,92128.22000000,621.86424000
2025-11-20 10:00:00,92128.22000000,92135.01000000,91440.55000000,91950.00000000,1187.17976000
2025-11-20 11:00:00,91950.01000000,92062.83000000,91603.84000000,91801.39000000,918.81997000
2025-11-20 12:00:00,91801.39000000,92029.64000000,91485.40000000,91934.00000000,472.97339000
