Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_12,EMA_26
2026-05-27 01:25:00,75888.48,75897.52,75888.48,75897.52,1.43509,75934.23550000001,75937.1802,75909.22638550987,75923.23736620697
2026-05-27 01:26:00,75897.52,75914.0,75897.36,75897.36,8.86581,75930.8345,75936.92760000001,75907.40078773911,75921.32052426573
2026-05-27 01:27:00,75897.35,75944.25,75893.85,75918.01,6.4698,75929.23449999999,75937.08780000001,75909.03297424079,75921.07530024606
2026-05-27 01:28:00,75918.01,75937.34,75918.0,75937.34,2.53368,75927.179,75936.2346,75913.38790128067,75922.28009282042
2026-05-27 01:29:00,75937.34,75937.34,75935.26,75935.26,3.65507,75924.6425,75935.8818,75916.75283954518,75923.24156742632
2026-05-27 01:30:00,75935.27,76004.18,75935.26,75985.11,7.38974,75924.64249999999,75936.30399999999,75927.269325769,75927.82441428363
2026-05-27 01:31:00,75985.11,75985.11,75973.07,75979.27,2.31137,75925.00649999999,75936.7594,75935.26942949684,75931.63519841078
2026-05-27 01:32:00,75979.28,76004.18,75979.27,76004.18,2.85533,75926.616,75937.71280000001,75945.8710557281,75937.00888741738
2026-05-27 01:33:00,76004.18,76044.51,76004.17,76021.65,7.46435,75928.791,75939.0158,75957.52935484686,75943.27859946054
2026-05-27 01:34:00,76021.64,76021.64,75996.8,76008.01,6.11363,75930.1235,75940.13579999999,75965.29560794734,75948.07351801901
2026-05-27 01:35:00,76008.0,76008.01,76000.39,76000.39,0.52669,75934.893,75941.043,75970.6947451862,75951.94881298057
2026-05-27 01:36:00,76000.4,76000.4,75985.1,75985.11,0.92239,75937.7485,75941.77219999999,75972.91247669602,75954.40519720424
2026-05-27 01:37:00,75985.11,75985.11,75964.17,75966.01,16.69576,75940.1995,75941.9458,75971.85055720432,75955.26481222615
2026-05-27 01:38:00,75966.02,75966.02,75916.85,75916.86,7.01631,75941.242,75941.4512,75963.39047148058,75952.4200113205
2026-05-27 01:39:00,75916.86,75916.86,75903.47,75909.63,11.2294,75941.8425,75940.96359999999,75955.11962971435,75949.25038085232
2026-05-27 01:40:00,75909.63,75916.01,75909.62,75916.0,6.98169,75942.686,75941.12359999999,75949.1012251429,75946.78738967807
2026-05-27 01:41:00,75916.0,75964.44,75916.0,75964.44,3.46487,75945.93950000001,75942.3122,75951.46103665938,75948.09499044265
